微博正文,情感分析结果
今日聚焦小说《柳月见宋岐》(完整版大结局爆款小说)柳月见宋岐全文阅读❗书名：《柳月见宋岐》柳月见宋岐❗主角：柳月见宋岐《柳月见宋岐》全文请到公#众#号〖神山文学〗发个柳月见宋岐，就行了　两人坐了没几分钟，包房的门被人推开，梁书儿以为是李梦她们到了，谁曾想抬头就看到是上次见过的王冰冰的男朋友。　　男人一身西装革履，可穿出来的效果却是不忍直视，简直是糟蹋了衣服。　　他进来后第一眼的目光不是看向王冰冰，而是径直落在梁书儿的脸上，随后双眼跟着一亮。　　王冰冰站起身笑着走过去挽着男人的手，撒娇的问他怎么才来，然后又转头跟梁书儿说两人上次见过，问还记得不记得。　　“当然记得，你舍友跟你长得一样好看，我怎么回不记得。”男人笑着冲梁书儿伸出手：“你好，上次没来得及介绍，我叫王永，你可以叫我王哥。”　　梁书儿看着伸到自己面前的手，没动，几秒之后开口：“你好。”　　也没握手也没喊王哥。　　王冰冰跟王哥对视了一眼笑着说：“我室友性格就这样，亲爱的你可别介意。”　　“我怎么会介意。”王哥笑着说：“很有个性，我很喜欢。”　　梁书儿不适的皱眉，倏然站起身：“我去看看她们来了没有。”　　她说着头也不回的出了包房，外面的走廊有人，不免吵闹，梁书儿看着标示，直接去了洗手间。　　之前在群里发的消息李梦还没有回，她想了想直接打了电话过去。　　电话响了好一会才被接通，紧接着李梦有点焦急的声音传来：“我没找到王娇，打她的手机也没打通。”　　梁书儿一愣：“去教室看了吗？”　　“去了。”李梦说：“可她的同学说她今天压根没有去上课。”　　说着不等梁书儿说话再次开口：“她从来不会旷课的，即使通宵打工第二天也会强撑着去上课，这是第一次旷课，该不会出什么事了吧？”　　梁书儿皱眉，也不知是不是被李梦的话影响，她心里也下意识升起一股不好的感觉。　　“你知道她打工的地方在哪里吗？”她问。　　“不知道。”李梦说：“她打好几份工呢，有些没几天就换了，我昨天见到她的时候还特意跟她说今天找她有事，让她下课后等等我呢。”　　“你什么时候跟她说的？”梁书儿问。　　“早上。”李梦说：“我现在回宿舍看看，说不定是太累在宿舍睡着了。”　　“好，找到人给我打个电话。”　　梁书儿挂断电话，看着镜子里面的自己，头顶的灯光有点白，落在她皱着的眉上，还有她眼底露着的隐隐的担忧。　　她试探着也给王娇打了个电话，如李梦所说，没打通。　　想了想，梁书儿又发了一条短信。　全文请到公#众#号〖神山文学〗发个柳月见宋岐，就行了,正面
直拍央视主持人王冰冰人本小小只，皮肤很好的感觉，还挺灵动L审美观美的微博视频,正面
王冰冰线，林海洋线，张晓蔷线，朱玉龙线完结。,正面
姐姐，王冰冰姐姐,正面
王冰冰超话,负面
发布了头条文章：《李思思给央视留下的“烂摊子”，4年之后终于被尹颂和王冰冰盘活了》O李思思给央视留下的“烂摊子”，4年之后终于被尹颂和王冰冰盘活了,负面
#王冰冰#可爱的王冰冰,负面
王冰冰超话抱抱宝贝人间小甜甜,正面
王冰冰还有一个小羊在鲜花舍也好看,正面
【喜报送上门军人军属共享荣耀时刻】连日来，多地退役军人事务部门、人武部分别派出代表，将立功喜报和牌匾送到立功军人家中，让军人军属共享荣誉和喜悦。（董蓝琳郭伟刘廷耀赵爱红何舜邓小松王冰冰）#我为中国军人点赞#L中国军视网的微博视频,正面
✿你好生活第4季✿撒贝宁说自己胆小、怯懦、极度害羞✿尼格买提：我信你个鬼✿王冰冰✿岳云鹏L超爱的无敌冰雪碧的微博视频,正面
顾初苒叶璟《顾初苒叶璟》最新热门虐心好看小说(今日热议)笔趣阁❗书名：《顾初苒叶璟》顾初苒叶璟❗主角：顾初苒叶璟《顾初苒叶璟》全文请到公#众#号〖神山文学〗发个顾初苒叶璟，就行了　王冰冰心里顿时一惊，手忙脚乱的从他的腿上爬了下来站到一旁。　　一抬眸的时候，正好对上一旁梁书儿的目光。　　王冰冰先是一怔，随后脸色一片涨红。　　这次却不是羞的，而是一阵无地自容。　　刚才一瞬间她全部心思都在严凯泽的脸上，以至于一旁还有一个认识的人。　　严凯泽的目光在王冰冰的脸上漫不经心的扫了一圈，淡淡开腔：“长的的确不错。”　　他说着顿了顿，话锋忽然一转：“可惜不是我的菜。”　　王冰冰闻言脸上的笑容顿时一僵，有点不甘心的开口想要说什么，却听严凯泽再次开口：“你是海大的？”　　王冰冰闻言忙笑着点头：“是的，我还没毕业。”　　严凯泽笑了一声：“巧了，我嫂子也在海大。”　　“嫂子？”王永愣了下，寻着严凯泽的目光转头，目光在看到一旁坐着的江葎时，脸上在瞬间涌现出一抹愤怒。　　当时江葎的那一拳直接踹断了他的一根肋骨，这之前他本来在住院，是听说严凯泽来了这里，并且答应见他，他才不顾医生的阻止强行出院过来的。　　这会看到江葎，王永感觉自己的胸腔顿时更痛了。　　而且在江葎过去之前，梁书儿还给他两瓶子，一瓶在头上，现在还包着纱步；一瓶在腿上，他刚才进来的时候都是一跛一跛的。　　然而理智却是让他没有冲过去。　　严凯泽是什么人？　　而能跟严凯泽平起平坐的又能是什么人？　　看着严凯泽脸上的笑，王永几乎是第一时间就感觉到了今天这是场鸿门宴。　　“怎么不说话？”严凯泽看着王冰冰问：“你们一个学校的，认识吗？”　　王冰冰的脸色绷紧，紧张的没有说话。　　反倒是一旁的梁书儿忽然开口：“认识。”　　“哦？”严凯泽惊讶的转头：“是嫂子的朋友？”　　“不是。”梁书儿想也没想的否认，目光没什么情绪的落在王冰冰的脸上，说：“我跟她的关系不好。”　　王冰冰眼底闪过一丝怒色，下意识就想要说什么，可是在对上江葎看过来的目光时，她到了嘴边的话却是硬生生给咽了回去。　　“哦？”严凯泽似是想到什么，问：“嫂子，她该不会就是前天欺负你的人吧？”　全文请到公#众#号〖神山文学〗发个顾初苒叶璟，就行了,正面
《顾初苒叶璟》（最新全集完整章节大结局）《顾初苒叶璟》全文阅读笔趣阁❗书名：《顾初苒叶璟》顾初苒叶璟❗主角：顾初苒叶璟《顾初苒叶璟》全文请到公#众#号〖神山文学〗发个顾初苒叶璟，就行了　王冰冰脸上的笑容僵了下，上前一步笑着开口：“我怎么会欺负书儿呢，我跟她可是室友，关系好着呢。”　　之前那黄毛站了出来：“嫂子，她说的是真的吗？”　　梁书儿把手里就喝了一口的气泡酒放到江葎的手里，嗓音很淡的开口：“不是。”　　王冰冰没忍住：“梁书儿，你——”　　黄毛快速转身：“闭嘴，嫂子的名字也是你能喊的？”　　王冰冰还从来没有被这么凶过，眼眶顿时就红了。　　然而黄毛却没有丝毫的怜香惜玉，反而满脸的凶神恶煞。　　“我嫂子的脾气那么好，她既然说跟你关系不好，那肯定就是你的不好。”黄毛很大声的说：“我还听说我嫂子前几天被人欺负了，一看就是你吧，我江哥的人也敢欺负，胆子挺肥啊。”　　最后一个字落，黄毛忽然抄起手边的一个空酒瓶在茶几上用力的一磕，酒瓶顿时四分五裂。　　王冰冰吓没吓到梁书儿不知道，她反正是被吓到了。　　因为黄毛就站在她的面前，玻璃渣子都飞到了她的脚边，不过被江葎给挡住了。　　江葎低头看了一眼梁书儿，随后转头看向黄毛，嗓音透着一丝不悦：“离远点。”　　“我的错我的错。”黄毛忙一脸的笑容：“江哥别生气，嫂子没受伤吧？我这就离远点。”　　梁书儿在江葎的怀里摇头：“我没事。”　　“没事就好，这杯酒就当时我给嫂子赔罪了。”黄毛说着端起一杯也不知是谁的酒直接仰头就干。　　梁书儿看的一愣一愣的，凑到江葎的耳边小声的说：“你都是哪里找来的这些人，也太好玩了。”　　“严凯泽找的。”江葎说。　　“你一个都不认识的吗？”梁书儿问。　　见江葎摇头，梁书儿不由一阵沉默。　　那这个黄毛可真是个小社牛啊。　　黄毛喝完把酒杯往桌上重重一磕，看着脸色苍白的王冰冰问：“说吧，想好了要怎么给我嫂子赔罪了吗？”　　“我……”王冰冰看向王永，后者却是直接看向了别处。第936章江葎156　　明显就是一副不管的样子。　全文请到公#众#号〖神山文学〗发个顾初苒叶璟，就行了,正面
《顾初苒叶璟》（大结局最新已完本完整版）《顾初苒叶璟》小说全文阅读❗书名：《顾初苒叶璟》顾初苒叶璟❗主角：顾初苒叶璟《顾初苒叶璟》全文请到公#众#号〖神山文学〗发个顾初苒叶璟，就行了　王冰冰的目光在早场每个人的脸上扫视了一圈，每个人的脸上都是一副看戏看热闹的模样。　　包括江葎跟梁书儿，只是这两人压根没有看她。　　可正因为这样的漠视才让王冰冰更难堪。　　王永是来找严凯泽办事的，所以他根本不会因为她而得罪严凯泽，甚至有可能为了他的利益而把所有的事情都推到她的身上。　　王冰冰比谁都清楚这些富家子弟平时做事都是为所欲为，什么都敢做，也什么都敢玩。　　要是得罪了他们，她以后、不，现在就绝对没有好果子吃。　　尤其眼前这黄毛看到她丝毫没有以前那些男人看到她时的那种让她受用的眼神。　　想到这里，王冰冰心念电转后快速转头看着严凯泽说：“不是我，跟我没关系，我其实什么都不知道。”　　严凯泽没有说话，黄毛开口：“你以为我会相信你的狡辩？”　　“我说的是真的，真的不是我。”王冰冰转头看向一旁变脸色的王永。　　“都是他。”王冰冰说：“书儿是我的室友，我们之前有一次出去吃饭的时候被他看到了，他当时就看上了书儿，事后还跟我打听她的消息。”　　江葎原本正在把玩着梁书儿的手，听到这里，动作一顿，抬头看过来的眸光带着一抹慑人的冷意。　　王永再次想到了那一脚，下意识后退了一步，下一秒只见他转头想也没想的甩了王冰冰一巴掌。　　“我让你胡说八道！”　　王冰冰被直接打的磕在茶几上，额头瞬间见了血。　　即使如此，她却是不顾疼痛，手忙脚乱的爬到严凯泽的身边一把抓住他的裤腿哭着说：“真的，我没有说谎。”　　“书儿是我的室友，我自然是不答应的，而且我还跟他说书儿有已经有男朋友了。”　　王冰冰哭着说：“可是他却依旧不死心，一直让我想办法把书儿约出去我都没答应。”　　梁书儿听到这里，忍不住抬头看向她，唇角勾起一抹冷意。　　这睁眼说瞎话的本事都快赶上梁薇薇了，有机会还真想介绍这两人认识认识，看看谁能更胜一筹。　　王永气急败坏的上前还想要打人，却是被黄毛给拽住：“等等王总，不懂得女士优先吗？请让她先说完。”　　王永听着脸色一阵铁青，王冰冰闻言在心里松了口气的同时再次开口：“我本来还以为他已经死心了，却没想到他这里竟然跟踪我。”　　“我跟书儿给我们一个宿舍的舍友过生日，在KTV定了包厢，我不知道他怎么知道的，他买了很多的零食和奶茶，我本来不想要的，可我要是不要他就要打我。”　　“那奶茶我也喝了，是从奶茶店里做好密封之后之后直接送过来的，我是真没想到他会——”　　这次王冰冰的话还没说完却被打断：“够了。”　全文请到公#众#号〖神山文学〗发个顾初苒叶璟，就行了,正面
《顾初苒叶璟》（《顾初苒叶璟》小说全集完整大结局）全文阅读笔趣阁❗书名：《顾初苒叶璟》顾初苒叶璟❗主角：顾初苒叶璟《顾初苒叶璟》全文请到公#众#号〖神山文学〗发个顾初苒叶璟，就行了　江葎把身上的衣服脱下来给她穿上，垂眸落在她微颤的睫毛上，低声问：“吓到了？”　　梁书儿摇头：“没有。”　　说着顿了顿，又说了句：“那是他们活该。”　　小时候的梁书儿或许会容易心软，可是现在的她早已练就了一副铁石心肠，更何况还是这种害过自己的人，她更不可能会心软。　　只是……　　她没有想到江葎会选择这样的解决方式，一点也不像他平时给人的感觉。　　而且，还有一层学生跟老师的关系在中间。　　“你会有麻烦吗？”梁书儿说：“我不想你因为我而惹麻烦。”　　“不会。”江葎想也没想的说，牵着梁书儿往停车场走。　　“没有就好。”梁书儿点头，忽然有点好奇的问：“江医生，你以前也做过这种事吗？”　　虽然刚才都是别人动的手，他们只是一个旁观者。　　可从他们的态度来看，这种事显然不是第一次。　　“没有。”江葎说：“不过经常见，不新鲜。”　　他说着顿了顿，忽然停下脚步看向梁书儿，深邃的眸带着一层不明显的暗色，顿了一秒之后开口：“书儿。”　　“嗯？”　　“我其实没有你想的那么好。”江葎忽然说。　　梁书儿神情一怔。　　“你被人欺负，我很生气。”江葎再次说：“我不想要再向上次一样只是简单的把人送进去，我想要他百倍千百的还回来，我想要让他真真切切的感受到肉体与精神的双重痛苦。”　　江葎说到这里顿了顿，嗓音低了几分：“其实我是想要亲自动手的，只是……”　　“只是因为我，你有了顾虑。”梁书儿接过他的话：“我说的对吗？”　　对上梁书儿看过来的目光，江葎薄唇紧抿，没有说话。　　梁书儿张开双手上前抱住他：“江医生，谢谢你。”　　梁书儿的声音很轻也很温柔：“谢谢你帮我出气，也谢谢你有了顾虑，而这个人还是我。”　　梁书儿说着侧头在他的脖子上亲了一下，再次说：“我很高兴，真的。”　　梁书儿是真的很高兴，不是因为里面王冰冰跟王永的下场，而是因为眼前这个正被她抱着的人。　全文请到公#众#号〖神山文学〗发个顾初苒叶璟，就行了,正面
【甘若见江祁川】好看～热门小说～阅读-（甘若见江祁川）笔趣阁❗书名：《甘若见江祁川》甘若见江祁川❗主角：甘若见江祁川《甘若见江祁川》全文请到公#众#号〖神山文学〗发个甘若见江祁川，就行了　她想要出来不是被吓到了，而且不想要继续看，觉得没必要，她也不关心。　　而且她也不想江葎为了那样的人而赃了他的手，不值当。　　梁书儿把人松开，抬头看着他，脸上带着一丝俏皮的笑，问：“所以，不管江先生还有哪些我不知道的一面，我都会很高兴的去接受和喜欢。”　　她说着握住他的手晃了晃，问：“我们现在可以去买烤猪蹄了吗？”　　江葎勾唇：“可以。”　　“那快走吧。”梁书儿拽着人上车。　　其实她知道江葎心里肯定是有事情没有跟她说，可是梁书儿一点也不生气，也不会去追问。　　她想，他想要说的时候就会说了，她只需要做好随时倾听的准备就行。　　至于王冰冰跟王永，她也知道是江葎想要带她过来转换一下心情，不想让她过分的沉溺在王娇的事情当中。　　这些梁书儿都知道，内心也很是感动。　　试问一个人事无巨细的关注你的喜怒哀乐，并且为之付出行动。　　这样的一个人，让她怎么能不喜欢呢？　　梁书儿是前几天在微博上刷到一个同城的晒的美食，就是烤猪蹄，照片看的她当即差点流口水，刚才想起来就说出来了，其实是不想要让江葎担心。　　该店是在海城的某商场内，整个三楼都是各种各样的小吃。　　梁书儿跟江葎两人上来的时候被眼前的人吓到了。　　“好多人啊。”梁书儿闻着空气中的香味，忍不住吞咽着口水，一边拉着江葎往里走一边说：“好多啊，也不知道烤猪蹄在哪里。”　　一眼看去差不多都是一些年轻的男女，有些很是亲昵，你喂我一口我喂你一口，丝毫不会不好意思。　　梁书儿进来后觉得热，外套被江葎搭在手肘间，跟在她的身后帮着付钱。　　本来其实没什么胃口的，可是身临现场，食物的香味直勾人味蕾，所以在找烤猪蹄的过程中梁书儿又看上了好几样别的，结账后一边吃一边也不害臊的给江葎喂。　　这时一旁忽然传来一道惊讶的嗓音：“江哥？”第938章江葎158　　这还是梁书儿第一次听别人对江葎这样称呼，不由疑惑的转头看去。　　结果下一秒却是看到了两个熟人。　　是梁薇薇跟陆游川。　全文请到公#众#号〖神山文学〗发个甘若见江祁川，就行了,正面
今日聚焦小说《甘若见江祁川》(完整版大结局爆款小说)甘若见江祁川全文阅读❗书名：《甘若见江祁川》甘若见江祁川❗主角：甘若见江祁川《甘若见江祁川》全文请到公#众#号〖神山文学〗发个甘若见江祁川，就行了　期间从家里到学校的路上她先后接到了曾馨和梁荣打来的电话，前者连续打了好几个梁书儿都没有接，过了一会之后才换梁荣打过来，梁书儿照样没有接。　　她这段时间过的挺安逸的，本来以为那家人应该是彻底把她这个人忘记了，这样最好，最好永远也别再联系。　　谁曾想又冒了出来。　　梁书儿不想知道这一个接一个的电话打是不是有什么急事，因为她都不关心，最后打到她烦了她索性把两人的号码直接拉入了黑名单。　　拉完不由想到了昨晚在小吃街看到的陆游川和梁薇薇。　　梁书儿几乎都不用想都能知道肯定是梁薇薇回去之后跟梁荣和曾馨说了什么，这样的套路她都已经见怪不怪了。　　上完课，梁书儿回了一趟宿舍，她本来是想要找李梦问问学校对于王娇的处理情况的，还有王娇的爸爸，谁曾想李梦没看到，却看到了没去上课的王冰冰。　　昨晚她跟江葎走之后也没去问王冰冰跟王永最后怎么样了，主要她不关心，而且心里也知道江葎的那个朋友肯定也是有分寸的。　　所以这会看到王冰冰，她忍不住多看了一眼。　　好好的，什么事也没有，只是脸色很白，眼窝下面一片浓浓的黑眼圈。　　这要是换做往常，她看到梁书儿好话歹话肯定都是要说上两句的。　　可是这次看到梁书儿却跟老鼠见了猫似的，原本估计是想要下床去卫生间只是什么的，看到梁书儿进门先是一怔，随后想也没想的刷的一下把床上的帘子给关上了，一句话都没有说。　　不过梁书儿还是看出了她跟之前的不一样的。　　以前王冰冰就算心里再不喜欢她，可是每次表面的功夫都会做的很好，把不喜欢都很好的藏着。　　可是这一次眼里的恨意和嫉妒却是不加掩饰，当然除了这些，还有一抹更明显的害怕。　　梁书儿沉默的看着，忽然有点好奇昨晚那些人把她怎么了。　　但也只是一瞬间的念头，下一秒就见她拿着手机出了宿舍。第940章江葎160　　梁书儿是在学校食堂看到李梦的，这个点食堂已经没什么人了，都吃完离开了，李梦明显也已经吃完了，可却坐在那没有动。　　看到梁书儿过来的时候，她抬头冲她笑了笑，可却笑的很勉强，而且脸色很白，眼眶也有点红，一看就是没休息好。　　“你来了。”她冲梁书儿打了个招呼便垂下了目光低声说：“你知道吗？我现在都不敢回宿舍，我好几天没有睡了，只要一闭上眼睛，我就能看到王娇在我眼前跳下来的样子。”　　说到最后，李梦的声音带上了掩饰不住的哭腔。　　“你说好好的一个人怎么说没就没了呢，之前明明还好好的啊，我们还要给她过生日呢。”　　“对啊，她生日都还没过呢。”　全文请到公#众#号〖神山文学〗发个甘若见江祁川，就行了,正面
热议《甘若见江祁川》小说（全集完整新上小说大结局（甘若见江祁川））全文阅读笔趣阁❗书名：《甘若见江祁川》甘若见江祁川❗主角：甘若见江祁川《甘若见江祁川》全文请到公#众#号〖神山文学〗发个甘若见江祁川，就行了　梁书儿这会也没什么好瞒着的了，点头，说：“我们已经结婚了。”　　“啊？”李梦眼睛睁大。　　“不好意思，之前一直没跟你们说。”梁书儿说。　　“没事。”李梦摇头：“这是你的私事，有什么不好意思的，不说是你的自由。不过我真的没想到，这要是让那些女生知道了肯定很心碎。”　　说着，李梦笑了一下，沉默了两秒后说：“江教授一直是王娇的偶像，她要是知道江教授是你的老公，也不知道会是什么样的反应。”　　“可惜再也看不到了。”　　她知道。　　梁书儿在心里说。　　想到王娇给自己打的那通电话，梁书儿内心再次忍不住泛起一阵自责和懊悔。　　她当时要是早点发现她的不对，早点去学校，是不是就能阻止了？　　梁书儿过来之前本来是想着跟李梦说声以后离王冰冰远点，尽量别跟她出去，不过现在知道人已经要搬出去住了，又不是一个系的，以后应该是没什么接触机会了。　　虽然如此，从食堂离开之前梁书儿还是说了句：“以后别跟王冰冰出去，她要是找你，都直接拒绝。”　　李梦一怔：“是不是那天发生了什么事？”　　梁书儿没有多说，只道：“她的那个男朋友不是什么好人，其实也不是她的男朋友。总之，你以后注意点。”　　李梦不傻，话都说到这份上了，她自然明白是什么意思。　　“我知道了。”她感激的说：“谢谢。”　　“不客气。”梁书儿说。　　因为王娇，李梦选择了搬出宿舍。梁书儿想，她自己估计也不会再过去了吧。　　“对了。”李梦想起什么：“明天王娇的爸爸要来学校，我想到时把王娇的东西收拾收拾拿给他。”　　梁书儿问：“什么时候，我到时跟你一起过去。”　　“好。”李梦点头：“我到时给你发消息。”　　从学校出来，梁书儿正想要给祝萌打电话，这几天的事她都瞒着她没有说。　　结果打过去才知道那女人竟然瞒着她已经偷偷找好了工作开始上班了。　　梁书儿气的不行，一边接听一边往地铁站走。　　身后忽然传来一声喇叭声，她没有回头，往一旁走了走。　全文请到公#众#号〖神山文学〗发个甘若见江祁川，就行了,正面
热门小说《顾颜霍擎深》(最新完整章节大结局)（顾颜霍擎深）全文阅读❗书名：《顾颜霍擎深》顾颜霍擎深❗主角：顾颜霍擎深《顾颜霍擎深》全文请到公#众#号〖神山文学〗发个顾颜霍擎深，就行了　可是现在呢？　　“谁知道呢？”梁书儿没什么情绪的笑了一声，看着前面的那群人，她只觉得无比的刺眼。　　几人往外走，出来的时候，李梦看着梁书儿，忽然上前把人抱住。　　梁书儿微楞，下一秒就听李梦在她的耳边说：“王冰冰退学了。”　　梁书儿微讶，不过只是一瞬。　　“她做的那些事被一个大一学妹的父母闹到了学校。”李梦说：“我才知道你当时对我说的话的是什么意思，谢谢。”　　梁书儿回抱了一下：“不客气，你没事就好。”　　“嗯。”李梦点头后把人松开，眼眶有点红，看着梁书儿笑着说：“没想到我们宿舍四人最后会变成这样。”　　她说着顿了顿，似乎是还想要说什么，可最后却是什么都没说。　　一旁江葎的手机响了，是医院那边的电话。　　关于网上的消息，虽然没什么人关注对于之前对江葎污蔑的解释，可是却已经确定王娇之死的罪魁祸首就是吴启明，警方那边也亲自发声证实了。　　原本医院那边因为江葎的拒绝，主刀自然还是周武，不过手术方案是江葎提供的，手术时间就在明天。　　可现在却是院长直接出名，让江葎主刀，并且还亲自跟患者沟通，也解释了网上的不实报道，证实江葎是一个很好的医生，如果让江葎手术，那么成功率会更高。　　最后患者同意了换成江葎主刀，医院这边第一时间给江葎打了电话告知这一消息。　　江葎挂断电话的时候神色不是怎么好看，梁书儿抬头看向他：“怎么了？”　　“医院有点事，我要过去一趟。”江葎说。　　“那你快去吧。”梁书儿忙说：“我自己打车。”　　江葎明显不放心，梁书儿见状转头看向李梦：“放心，我们一起呢，我要回趟学校。”　　“到了给我发消息。”江葎说。　　“好。”梁书儿点头。　　看着江葎离开，李梦勾唇轻笑了声：“江教授对你可真好。”　　说着问梁书儿：“你回学校做什么？”　　梁书儿正要说什么，身上的手机响起，是一串没有备注的号码。　　“不好意思，我接个电话。”　　“喂？哪位？”梁书儿一边接通一边跟李梦走到路边拦车，下一秒梁薇薇的声音从手机那头传来：“梁书儿，你在哪，我们见一面吧？”　全文请到公#众#号〖神山文学〗发个顾颜霍擎深，就行了,正面
今日聚焦小说《许琉月洛行周》(完整版大结局爆款小说)许琉月洛行周全文阅读❗书名：《许琉月洛行周》许琉月洛行周❗主角：许琉月洛行周《许琉月洛行周》全文请到公#众#号〖神山文学〗发个许琉月洛行周，就行了　虽然都只是一些日常生活中小的不能再小的细节，可是往往越是这样的小细节才越是能反应出一个人的心理情况。　　江葎的情况比她想象中的要很多，对于网上所有的消息他的态度都很是平静，可这样的平静又不是他跟往常一样的常态。　　因为他在面对自己的太太的时候的样子却是跟其他的时候完全相反，甚至可以说很是生动。　　如果说之前的江葎会让日常朝夕相处的人都认为他是正常的，他跟他们所有人一样没有什么不同。　　然而现在的江葎，就这会坐在对面的江葎，有那么一瞬间，甚至也让她也感觉对方是正常的，经过了这么长时间的抗争和对抗之后终于痊愈了。　　所以，这就是爱情的力量吗？　　庄医生一边吃着饭一边忍不住在脑海中回忆着过往所经手的病例以及手上现有的病例，想着回去之后要不要改一下治疗方案。　　吃完饭，江瑾在犹豫了几秒之后还是选择先把江承安先喊进了书房，进去之前跟庄医生说了声让她等等她，她马上就出来。　　这次庄医生还没说完，严凯泽却是先一步给她答应了。　　梁书儿在一旁看着严凯泽明显的不能再明显的目的，忍不住侧头小声的跟江葎咬耳朵：“你说严总是不是喜欢庄医生啊？”　　关于这一点江葎自然也是看出来了的，虽然惊讶，不过也只是惊讶。　　“我觉得肯定是。”梁书儿一边说一边点头：“严总是你的朋友，他在男女感情这方面怎么样啊？我觉得庄医生人挺好的。”　　梁书儿跟严凯泽接触的不多，不过从上次王冰冰的那次却是隐约能看出对方应该是玩的很开的人。　　一个是江葎的朋友，一个是江葎的心理医生，都算是自己人。　　可梁书儿私信来讲自然是更偏向庄医生的。　　她想要是严凯泽只是想要玩玩的话那最好还是适可而止吧，她不希望庄医生受到伤害。　　更何况刚才一顿饭下来，梁书儿感觉庄医生对严凯泽的态度从头到尾都是冷冷淡淡的，很明显是严凯泽的一厢情愿，庄医生不喜欢他。　　可如果是真心的……　　梁书儿的念头还没想完，耳边就响起江葎淡淡的嗓音：“他有未婚妻。”　　“啊？”梁书儿愣愣的转头：“严总有未婚妻？”　　“嗯。”江葎点头：“两家是世交，从小就定下了。”　　梁书儿忍不住皱眉：“都有未婚妻了为什么还对庄医生这么好？”　　虽然今天才第一次见面，可或许是因为庄医生对江葎的帮忙，所以梁书儿对她挺有好感的。　　江葎抬手摸了一下梁书儿的头，嗓音压低：“江太太，看看我。”　　梁书儿收回目光看向他，下意识紧张的问：“怎么了，伤口疼了吗？”　全文请到公#众#号〖神山文学〗发个许琉月洛行周，就行了,正面
王冰冰超话。,负面
王冰冰超话出来冒个泡,负面
“这都拿不下你？”#王冰冰#王冰冰超话L_小張乏了的微博视频,负面
王冰冰超话事实证明，当fa椒和鸡爪在说废话的时候一定是在说废话晚安~,负面
王冰冰超话废话倒是没有太废话了，就是有点废话。晚安冰冰晚安各位小伙伴,负面
王冰冰超话晚安周末愉快,正面
王冰冰超话没有文案，看图～,正面
王冰冰超话,负面
王冰冰超话有学医的吗？请教个事,负面
王冰冰超话冰雪大世界拍摄花絮L查干湖在逃公主的微博视频,正面
王冰冰超话查干湖畔初相遇，一见喵酱误终身,正面
王冰冰超话我先尝试发三张，看发不发的出来，受@YZLinShanghai-所托，感谢YZ现场发回来的图～,负面
#李金铭男友女朋友发文#不是我说，能不能让男的来回答，为什么每次男的都美美隐身，好无语可以类比一下王冰冰事件#刘大锤采访李金铭男友女朋友#,负面
这是董先生吧？听说王冰冰也在AWE？！在哪儿？我去！#awe2024##awe2024有哪些亮点#,负面
王冰冰超话继续加更这两天我好勤快几个路拍来源：xhs,正面
王冰冰，🈶排面！#awe2024#,负面
周末逛“中国家电及消费电子博览会”（AWE），捕获央视王冰冰和东方甄选顿顿各一只！感谢CCTV让我以这种方式和两位主播同框～,正面
王冰冰超话今天考试的宝宝们加油,正面
#王冰冰##单板滑雪#滑雪时的王冰冰，俏皮又可爱☺,负面
王冰冰超话光看两侧以及后面的人（下面放的图都是），大家都举着手机，我想路拍今天展会的路拍少不了，我看大家已经在陆陆续续收集发布了，大家收集图辛苦了,正面
#王冰冰#冰冰辛苦啦，昨天白天还在深圳晚上就到上海工作，以后你就在外负责赚钱养家，我在家负责照顾两只猫的吃喝拉撒，我会当好你的贤内助的,正面
#徐嘉余和#王冰冰的互动也太甜了吧，我已经脑补了一部小说了！帅哥美女的神仙联动是我们可以嗑的吗哈哈哈～#微博VC计划#L娱乐转转乐的微博视频,正面
我获得了王冰冰超话的“上上签-龙”头衔。以年为单位的热爱，永不停歇,正面
"王冰冰超话还有29天,还有很多很多天",负面
王冰冰超话我只要前四名报到,负面
王冰冰超话早安,正面
王冰冰超话咋感觉像冰冰往张韬头上安俩天线啊,负面
真不是我家冰冰听力不好#王冰冰#王冰冰直播社死现场#微博VC计划#L刘子微_的微博视频,负面
《王冰冰别来碰瓷》《学新闻学的》,负面
真是林子大了什么鸟都有#王冰冰#丁真#微博VC计划#L娱乐转转乐的微博视频,负面
王冰冰超话LHU-Q风的微博视频,负面
王冰冰超话晚安咯,负面
【一针一线，织染绘绣，中华服饰传承千年】今天锁定央视频联合卡萨帝推出的《#霓裳时光秀#》，与王冰冰@吃花椒的喵酱@尹颂@北京服装学院督导蒋金锐@楚艳CHUYAN@常春乐_ChunleChang@孟庆旸@利路修-Lelush@璇玑一同穿越千年服饰文化，开启霓裳时光之旅~（央视频号：霓裳时光秀）L央视频的微博视频,正面
王冰冰超话各位帅哥美女，我要生了，再帮帮小弟吧,正面
王冰冰超话差一点氵,负面
华夏衣冠承载着千年的记忆，当十二金钗华服重现，央视频#卡萨帝洗衣机##霓裳时光秀#，与王冰冰@吃花椒的喵酱@尹颂一起，感受红楼华服大秀，体验卡萨帝养护空气洗除皱亮色黑科技，点击回放，精彩重现！#原创一体嵌入衣装分区养护#L央视频的微博视频,正面
我在王冰冰超话连续签到30天，获得了“签地自萌”头衔，发帖纪念,负面
